variant	af	filter-pvalue	lrt-pvalue	beta	beta-std-err	variant_h2	notes	sensi_1	sensi_0	speci_1	speci_0	mutation_in_interest	mutation_not_in_interest	mutation_in_compared	mutation_not_in_compared
umuD	0.775	4.6200000000000003e-08	0.000164	0.662	0.17	0.337	bad-chisq	0.9833333333333333	0.016666666666666666	0.5666666666666667	0.43333333333333335	59	1	34	26
traJ	0.767	2.22e-07	0.00018999999999999998	0.654	0.17	0.33399999999999996		0.9666666666666667	0.03333333333333333	0.5666666666666667	0.43333333333333335	58	2	34	26
group_1107	0.767	2e-08	6.11e-05	0.613	0.14800000000000002	0.358	bad-chisq	0.9833333333333333	0.016666666666666666	0.55	0.45	59	1	33	27
group_110	0.758	7.53e-06	1e-06	0.516	0.1	0.429		0.9333333333333333	0.06666666666666667	0.5833333333333334	0.4166666666666667	56	4	35	25
group_1156	0.758	0.136	0.159	0.525	0.37	0.129		0.7	0.3	0.8166666666666667	0.18333333333333332	42	18	49	11
smc_2	0.758	0.136	0.159	0.525	0.37	0.129		0.7	0.3	0.8166666666666667	0.18333333333333332	42	18	49	11
group_1158	0.758	0.136	0.159	0.525	0.37	0.129		0.7	0.3	0.8166666666666667	0.18333333333333332	42	18	49	11
gpFI	0.758	0.136	0.159	0.525	0.37	0.129		0.7	0.3	0.8166666666666667	0.18333333333333332	42	18	49	11
group_1170	0.758	0.136	0.159	0.525	0.37	0.129		0.7	0.3	0.8166666666666667	0.18333333333333332	42	18	49	11
group_1171	0.758	0.136	0.159	0.525	0.37	0.129		0.7	0.3	0.8166666666666667	0.18333333333333332	42	18	49	11
group_1183	0.758	0.136	0.159	0.525	0.37	0.129		0.7	0.3	0.8166666666666667	0.18333333333333332	42	18	49	11
group_421	0.758	0.136	0.159	0.525	0.37	0.129		0.7	0.3	0.8166666666666667	0.18333333333333332	42	18	49	11
group_780	0.758	0.136	0.159	0.525	0.37	0.129		0.7	0.3	0.8166666666666667	0.18333333333333332	42	18	49	11
group_781	0.758	0.136	0.159	0.525	0.37	0.129		0.7	0.3	0.8166666666666667	0.18333333333333332	42	18	49	11
